Reference,London Borough Name,Attendant Location,Severity,Number Of Casualties,Number Of Vehicles,Date,Day,Time,Highway,Road Class 1,Road Number 1,Road Type,Speed Limit,Junction Detail,Junction Control,Road Class 2,Road Number 2,Pedestrian Crossing,Light Condition Band,Weather,Road Surface,Special Conditions,Carriage Way Hazard,Easting,Northing,Longitude,Latitude,Ward Code,Ward Name,Spatial Accuracy,Location,Socrata ID,Last Uploaded,Organisation URI
0109CW12302,CAMDEN,AVENUE ROAD J/W ACACIA ROAD,3 Slight,2,1,31/10/2009 01:20:00 AM,Saturday ,1.20,3 Bor,B,525,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,C,0,1 Zebra,2 Dark,2 Raining,2 Road-Wet,0 None,0 None,527140,183690,-0.168219,51.537813,,,Unknown,"(51.537813, -0.168219)",30794,04/11/2016 10:29:03 AM,http://opendatacommunities.org/id/london-borough-council/camden
0112EK40673,CAMDEN,PRINCE ALBERT ROAD J/W ST MARK'S SQUARE,3 Slight,1,2,08/12/2012 09:30:00 PM,Saturday ,21.30,3 Bor,A,5205,6 Single Cwy,2 30 MPH,3 T/Stag Jun,2 Auto Sig,C,0,5 Pedn Phase At Ats,2 Dark,1 Fine,2 Road-Wet,0 None,0 None,528210,183680,-0.152804,51.537481,,,Unknown,"(51.537481, -0.152804)",28296,04/11/2016 10:29:01 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CP00229,CAMDEN,HIGH HOLBORN J/W GRAY'S INN ROAD,3 Slight,1,1,30/09/2005 10:45:00 AM,Friday   ,10.45,3 Bor,A,40,6 Single Cwy,2 30 MPH,3 T/Stag Jun,2 Auto Sig,A,5200,5 Pedn Phase At Ats,1 Daylight,8 Other,2 Road-Wet,0 None,0 None,531160,181600,-0.111067,51.518112,,,Unknown,"(51.518112, -0.111067)",34586,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CP00241,CAMDEN,FARRINGDON ROAD JW CHARTERHOUSE STREET,3 Slight,1,2,24/10/2005 08:50:00 AM,Monday   ,8.50,1 TLRN,A,201,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,B,500,5 Pedn Phase At Ats,1 Daylight,2 Raining,2 Road-Wet,0 None,0 None,531540,181650,-0.105575,51.518473,,,Unknown,"(51.518473, -0.105575)",34585,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105EO40873,CAMDEN,FINCHLEY RD J/W CANFILED RD,3 Slight,1,2,17/08/2005 11:40:00 PM,Wednesday,23.40,1 TLRN,A,41,6 Single Cwy,2 30 MPH,3 T/Stag Jun,2 Auto Sig,C,0,5 Pedn Phase At Ats,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,526330,184670,-0.179541,51.546802,E05000144,Swiss Cottage,Unknown,"(51.546802, -0.179541)",34063,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106CW10438,CAMDEN,CHARING CROSS ROAD J/W OXFORD STREET,2 Serious,1,2,15/04/2006 01:17:00 AM,Saturday ,1.17,3 Bor,TLRN,40,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,TLRN,40,5 Pedn Phase At Ats,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,529820,181380,-0.13045,51.516444,,,Unknown,"(51.516444, -0.13045)",33636,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0106CW11379,CAMDEN,CHARING CROSS ROAD J/W SUTTON ROW,2 Serious,1,1,09/10/2006 08:30:00 PM,Monday   ,20.30,3 Bor,TLRN,400,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,6 Unclassified,0,5 Pedn Phase At Ats,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,529820,181320,-0.130472,51.515905,,,Unknown,"(51.515905, -0.130472)",33620,04/11/2016 10:29:05 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CP00260,CAMDEN,FARRINGDON STREET J/W CHARTERHOUSE STREET,3 Slight,1,1,09/11/2005 10:30:00 PM,Wednesday,22.30,1 TLRN,A,201,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,B,500,0 No Xing Facility In 50m,2 Dark,2 Raining,2 Road-Wet,0 None,0 None,531550,181650,-0.105431,51.518471,,,Unknown,"(51.518471, -0.105431)",34584,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CP00271,CAMDEN,FARRINGDON ROAD J/W CHARTERHOUSE STREET,3 Slight,1,2,17/11/2005 09:50:00 AM,Thursday ,9.50,1 TLRN,A,201,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,B,400,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,531550,181670,-0.105424,51.518651,E05000138,Holborn and Covent Garden,Unknown,"(51.518651, -0.105424)",34583,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW10138,CAMDEN,SHAFTESBURY AVE J/W DYOTT ST,3 Slight,1,2,07/02/2005 01:50:00 PM,Monday   ,13.50,3 Bor,A,401,2 One-Way St,2 30 MPH,3 T/Stag Jun,2 Auto Sig,A,401,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,530090,181340,-0.126576,51.516023,E05000138,Holborn and Covent Garden,Unknown,"(51.516023, -0.126576)",34582,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
