X,Y,OBJECTID,TREEID,SITE_NAME,SPECIES,BOTANICAL,OWNER,TYPE,AGE,SPREAD,HEIGHT,TRUNK,LOCATION
-1.157982888326338,53.928826578439718,28410,3/1987-T4,"The Old Vicarage, Main Street, Askham Bryan,",Beech,Fagus Sylvatica,Private,Single tree,0,.00,.00,0,Beech
-1.158104724275259,53.928827432540174,28411,3/1987-T2,"The Old Vicarage, Main Street, Askham Bryan,",Beech,Fagus Sylvatica,Private,Single tree,0,.00,.00,0,Beech
-1.039844688538822,53.954745971650411,28412,CYC226-T2,"20 Carlton Avenue, York, 1,2 & 3 Wolviston
1, 2 &",Silver Birch,Betula Pendula,Private,Single tree,0,.00,.00,0,Birch
-1.102950232617468,53.97287935329453,28413,46/67-T5,"Shipton Road, Clifton",English Elm,Ulmus procera,Private,Single tree,0,.00,.00,0,Elm
-1.070641804941606,53.953829999254054,28414,U02044,"Paragon Street, York",London Plane,Platanus X Hispanica,Private,Single tree,0,7.00,12.00,0, 
-1.136327634636403,53.943009371632378,28415,U01571,"Foresters Walk, York",Sycamore,Acer Pseudoplatanus,Highways,Single tree,0,13.00,23.00,0,27
-1.13678169750402,53.943016500770554,28416,U01583,"Foresters Walk, York",Sycamore,Acer Pseudoplatanus,Highways,Single tree,0,4.00,10.00,0,23
-1.05069030606536,53.966314090646065,28417,16289,"Heworth Holme Open Space, Bad Bargain Lane",Ash,Fraxinus Excelsior,Leisure,Single tree,0,6.00,14.00,50,Adjacent to 35 Burnholme Dr
-1.136488572223392,53.942963335837021,28418,U01574,"Foxwood Lane, York",Sycamore,Acer Pseudoplatanus,Highways,Single tree,0,6.00,10.00,0,25
-1.12692447183787,53.943559037499085,28419,U01523,"Thornwood Covert, York",Silver Birch,Betula Pendula,Highways,Single tree,0,3.50,7.50,0,12
-1.10538363721325,53.921192047159721,28420,7/1991-T1,"9/10 Newlands Road, Bishopthorpe",False Acacia,Robinia Pseudoacacia,Private,Single tree,0,.00,.00,0,Robinia
-1.182253833341082,53.953399631236195,28421,24/1994-T5,Rufforth Airfield,Sycamore,Acer Pseudoplatanus,Private,Single tree,0,.00,.00,0,Sycamore
-1.035412572738008,54.036448435301544,28422,cyc53-T27,"22 Princess Road, Strensall, York,",Cherry,Cherry,Private,Single tree,0,.00,.00,0,Cherry
-1.155262636101352,53.984970133727188,28423,1/1970-T10,Nether & Upper Poppleton,Ash,Fraxinus Excelsior,Private,Single tree,0,.00,.00,0,Ash
-1.137748744082702,53.943062548833495,28424,U01607,"Foresters Walk, York",Ash,Fraxinus Excelsior,Highways,Single tree,0,2.00,4.00,0,11
-1.153517413425271,53.984635327478308,28425,1/1970-T1,Nether & Upper Poppleton,Ash,Fraxinus Excelsior,Private,Single tree,0,.00,.00,0,Ash
-0.971061166233139,53.97762938158624,28426,188/1992-T1,"Manor Farm, Holtby",Lime,Tilia X Europaea,Private,Single tree,0,.00,.00,0,Lime
-1.106014701121481,53.921592269698031,28427,7/1991-T4,"9/10 Newlands Road, Bishopthorpe",Sycamore,Acer Pseudoplatanus,Private,Single tree,0,.00,.00,0,Sycamore
-1.137635279779294,53.942978854754031,28428,U01604,"Foxwood Lane, York",Ash,Fraxinus Excelsior,Highways,Single tree,0,7.00,15.00,0,12
-1.06545779412428,53.996639455538435,28429,186A/1994-T30,"Playing Field, New Earswick",Beech,Fagus Sylvatica,Private,Single tree,0,.00,.00,0,Beech
-1.122365703091258,53.965382008581763,28430,CYC106-T36,"Boroughbridge Road,, York",False Acacia,Robinia Pseudoacacia,Private,Single tree,0,.00,.00,0,Robina
-1.106944437085812,53.97647777093745,28431,46/67-T23,"Shipton Road, Clifton",Sycamore,Acer Pseudoplatanus,Private,Single tree,0,.00,.00,0,Sycamore
-0.966545789427442,53.894467006354908,28432,1/1988-T23,"Main Street/Back Lane South, Wheldrake",Sycamore,Acer Pseudoplatanus,Private,Single tree,0,.00,.00,0,Sycamore
-1.111750197164231,53.979237079777285,28433,46/67-T56,"Shipton Road, Clifton",Horse Chestnut,Aesculus Hippocastanum,Private,Single tree,0,.00,.00,0,Horse Chestnut
-1.118717021539222,53.986578502909978,28434,1982/45-T20,"Manor Lane, Rawcliffe",Lime,Tilia X Europaea,Private,Single tree,0,.00,.00,0,Lime
-1.137051087059986,53.943001626710519,28435,U01587,"Foresters Walk, York",Sycamore,Acer Pseudoplatanus,Highways,Single tree,0,17.00,22.00,0,19
-1.071325946937275,53.986608173189929,28436,1982/39-T12,"Haxby Road/Juniper Close, New Earswick",Ash,Fraxinus Excelsior,Private,Single tree,0,.00,.00,0,Ash
-1.071032241070623,53.987468856201204,28437,1982/39-T1,"Haxby Road/Juniper Close, New Earswick",Lime,Tilia X Europaea,Private,Single tree,0,.00,.00,0,Lime
-1.041606931936188,53.957654552893025,28438,96/1987-T4,"59-65 Osbaldwick Lane, Osbaldwick",Silver Birch,Betula Pendula,Private,Single tree,0,.00,.00,0,Birch
-1.096090343701499,53.951667581711845,28439,CYC130-T1,"1,3,4,5,6 & 7  Driffield Terrace",Lime,Tilia X Europaea,Private,Single tree,0,.00,.00,0,Lime
-1.08885372288214,53.942622697614759,28440, ,Racecourse overflow field off Campleshon Road,Lombardy Poplar,Populus Nigra 'italica',Private,Single tree,0,3.00,24.00,70,Adjacent track edge
-1.056553336421403,53.974133080495314,28441,CYC222-T1,"Straylands Grove, York",Silver Birch,Betula Pendula,Private,Single tree,0,.00,.00,0,Silver Birch
-1.139137575058263,53.915685698923369,28442,cyc40-T2,"5 Low Green, Copmanthorpe",Pine,Pinus Spp,Private,Single tree,0,.00,.00,0,Pine
-1.126841170388454,53.969342843130299,28443,TPO23-T5,"33 Millgates, Acomb YO2  6AT",Hawthorn,Crataegus Monogyna,Private,Single tree,0,.00,.00,0,Hawthorn
-1.05701273359917,53.974046795283648,28444,CYC222-T3,"Straylands Grove, York",Horse Chestnut,Aesculus Hippocastanum,Private,Single tree,0,.00,.00,0,Horse Chestnut
-1.18000779499251,53.924942863496057,28445,3/1975-T79,Askham Richard,Beech,Fagus Sylvatica,Private,Single tree,0,.00,.00,0,Beech
-1.088680796562004,53.886071497936747,28446,cyc46-T18,"Bell Hall, Naburn",Lime,Tilia X Europaea,Private,Single tree,0,.00,.00,0,Lime
-1.088855581438289,53.942446524485575,28447, ,Racecourse overflow field off Campleshon Road,Lombardy Poplar,Populus Nigra 'italica',Private,Single tree,0,3.00,24.00,70,Adjacent track edge
-1.130420277653422,53.951947948401212,28448,CYC138-T11,"Westfield Farm  Askham Lane, York",Silver Birch,Betula Pendula,Private,Single tree,0,.00,.00,0,Silver Birch
-1.117286380941003,53.98715229239312,28449,1982/45-T14,"Manor Lane, Rawcliffe",Ash,Fraxinus Excelsior,Private,Single tree,0,.00,.00,0,Ash
-1.141377656621465,53.911890338136992,28450,2/1972-T11,"9 Station Road/25 Main Street, Copmanthorpe",Ash,Fraxinus Excelsior,Private,Single tree,0,.00,.00,0,Ash
-1.122634785823203,53.965635668131874,28451,CYC106-T47,"Boroughbridge Road,, York",Cherry,Cherry,Private,Single tree,0,.00,.00,0,Cherry
-1.132083685166272,53.921010434249936,28452,2/1972-T27,"9 Station Road/25 Main Street, Copmanthorpe",Oak,Quercus robur,Private,Single tree,0,.00,.00,0,Oak
-1.067505083549853,53.937776589573929,28453,TPO27-T2,"61 Heslington Lane, Alfreda Guest House",Beech,Fagus Sylvatica,Private,Single tree,0,.00,.00,0,Beech
-1.116009338290213,53.955977761292488,28454,CYC131-T15,"Acomb Road, Acomb, York,",Oak,Quercus robur,Private,Single tree,0,.00,.00,0,Oak
-1.070377285837101,53.980578142840066,28455,185A/1993-T24,"Bio Rad Works, Haxby Road, New Earswick,",Lime,Tilia X Europaea,Private,Single tree,0,.00,.00,0,Lime
-1.072657745022431,53.945187591076248,28456,TPO33-T19,Hospital Fields Road,Lime,Tilia X Europaea,Private,Single tree,0,.00,.00,0,Lime
-1.133589510632851,53.93874787071325,28457,TPO26-T6,"South of Walker Drive, Foxwood", , ,Private,Single tree,0,.00,.00,0, 
-1.034331482500372,54.030342392630331,28458,1977/5-T3,"Ox Carr Lane, Strensall",Oak,Quercus robur,Private,Single tree,0,.00,.00,0,Oak
-1.130959431670544,53.938477175630432,28459,TPO26-T44,"South of Walker Drive, Foxwood",Oak,Quercus robur,Private,Single tree,0,.00,.00,0,Oak
-1.089807974998065,53.886017125088053,28460,cyc46-T41,"Bell Hall, Naburn",Lime,Tilia X Europaea,Private,Single tree,0,.00,.00,0,Lime
-1.10211783016483,53.953438693485822,28461,TPO31-T2,Hamilton Drive East,Beech,Fagus Sylvatica,Private,Single tree,0,.00,.00,0,Beech
-1.052724726703136,53.98628878704362,28462,100/1987-T1,Old Asda Filling Station Site Now Range Superstore,Poplar,Populus,Private,Single tree,0,.00,.00,0,Poplar
-1.155137847278542,53.984247976473291,28463,1/1970-T8,Nether & Upper Poppleton,Oak,Quercus robur,Private,Single tree,0,.00,.00,0,Oak
-1.131277797506641,53.970813252539763,28464,CYC283-T28,"Manor School (old site) Low Poppleton Lane, York",Various,Various,Private,Single tree,0,.00,.00,0,Horse Chestnut Died
-0.962503444691021,53.966687851733482,28465,12/1990-T1,"Hagg Farm, Intake Lane, Dunnington,",Beech,Fagus Sylvatica,Private,Single tree,0,.00,.00,0,Beech
-1.043954827430924,53.945636766350162,28466,CYC116-T2,"4 Main Street, Heslington, York,",Lime,Tilia X Europaea,Private,Single tree,0,.00,.00,0,Lime
-1.065631464565373,53.995696951936104,28467,186A/1994-T74,"Playing Field, New Earswick",Hawthorn,Crataegus Monogyna,Private,Single tree,0,.00,.00,0,Hawthorn
-1.182527635246345,53.924155427059674,28468,CYC323-T1,"Parish Council, Village Green, Askham Richard, Yor",Willow,Salix,Private,Single tree,0,.00,.00,0,Willow
